"OBJECTID","FULLNAME_L","FULLNAME_R","CITY_L","CITY_R","ZIP_L","ZIP_R","ROLL_LEN","Shape_Length","WKT"
89772,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,156.693,156.692930854482,"LINESTRING (-122.27633 47.48573, -122.276526 47.485898, -122.276723 47.486067)"
90051,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,36.68693518,36.6869351930354,"LINESTRING (-122.328211 47.596605, -122.328178 47.596588, -122.328127 47.596585, -122.328071 47.596586)"
90325,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,125.538,125.538481437781,"LINESTRING (-122.325963 47.577594, -122.325457 47.57756)"
90327,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,196.581,196.581484443481,"LINESTRING (-122.327093 47.590312, -122.327173 47.589776)"
97267,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,188.197,188.197458845253,"LINESTRING (-122.297062 47.447982, -122.297056 47.447466)"
97315,"ST Light Rail","ST Light Rail","Seattle","Seattle",98144,98144,5204.752,5204.75212014935,"LINESTRING (-122.319833 47.577352, -122.318815 47.57723, -122.318555 47.577207, -122.318318 47.577195, -122.318027 47.577193, -122.317736 47.577206, -122.317448 47.577232, -122.317162 47.577272, -122.316958 47.57731, -122.316757 47.577356, -122.31656 47.577408, -122.316368 47.577466, -122.316042 47.577579, -122.313604 47.578458, -122.313109 47.578628, -122.312564 47.578803, -122.310013 47.579588, -122.309813 47.579644, -122.309607 47.579695, -122.309422 47.579735, -122.309207 47.579774, -122.309017 47.579802, -122.308797 47.579827, -122.308576 47.579845, -122.308354 47.579855, -122.308132 47.579858, -122.30791 47.579853, -122.307716 47.579842, -122.307495 47.579823, -122.307303 47.579801, -122.307086 47.579768, -122.306898 47.579733, -122.306686 47.579687, -122.306429 47.579619, -122.306134 47.579529, -122.303327 47.578587, -122.303066 47.578502, -122.302837 47.578435, -122.30243 47.578336, -122.302008 47.578248, -122.301663 47.578193, -122.300149 47.577996)"
97317,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,146.137,146.136775455727,"LINESTRING (-122.279689 47.521279, -122.279635 47.521406, -122.279635 47.521407, -122.279606 47.521475, -122.279526 47.521664)"
98279,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,241.884,241.883579658046,"LINESTRING (-122.303884 47.649705, -122.303869 47.649191, -122.303834 47.649043)"
98280,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,196.538,196.537848123715,"LINESTRING (-122.327252 47.590312, -122.327173 47.589776)"
98281,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,767.438,767.43768118888,"LINESTRING (-122.327252 47.590312, -122.327252 47.589725, -122.327256 47.589601, -122.327265 47.589478, -122.32728 47.589373, -122.327302 47.589251, -122.327321 47.589159, -122.327351 47.589018, -122.327375 47.588896, -122.32739 47.588804, -122.327404 47.588693, -122.327413 47.58839, -122.327413 47.588214)"
98282,"Capitol Hill Sta AcRd","Capitol Hill Sta AcRd","Seattle","Seattle",98102,98102,541.695,541.695241268188,"LINESTRING (-122.320286 47.619812, -122.320266 47.618327)"
98331,"ST Light Rail","ST Light Rail","Seattle","Seattle",98112,98112,11509.157,11509.1573524047,"LINESTRING (-122.303826 47.648779, -122.303791 47.647518, -122.303786 47.647227, -122.303787 47.646856, -122.303803 47.646431, -122.303836 47.646027, -122.30388 47.645567, -122.303944 47.645132, -122.304013 47.644712, -122.304098 47.644302, -122.304195 47.643874, -122.304312 47.643419, -122.304459 47.64293, -122.304615 47.642475, -122.304801 47.641981, -122.305044 47.641409, -122.305267 47.640935, -122.305547 47.64038, -122.305851 47.639841, -122.306144 47.639365, -122.306484 47.638842, -122.306861 47.63832, -122.307247 47.637819, -122.307642 47.637333, -122.308064 47.636813, -122.308538 47.636239, -122.314013 47.629555, -122.315206 47.628095, -122.315878 47.627277, -122.316712 47.626258, -122.318315 47.624303, -122.318787 47.623725, -122.319042 47.62341, -122.319233 47.623154, -122.319461 47.622818, -122.319637 47.622515, -122.319829 47.622132, -122.31999 47.621746, -122.320118 47.621328, -122.320212 47.620913, -122.32026 47.620591, -122.320285 47.620234, -122.320286 47.619812)"
98558,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,189.119,189.11923562858,"LINESTRING (-122.297056 47.447466, -122.297047 47.44759, -122.297008 47.447864, -122.296997 47.447983)"
98559,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,8218.718,8218.71791168507,"LINESTRING (-122.296997 47.447983, -122.297 47.448425, -122.297001 47.448568, -122.29701 47.448701, -122.29704 47.448834, -122.297069 47.448946, -122.297112 47.449058, -122.297172 47.449182, -122.297231 47.449281, -122.297304 47.449387, -122.297374 47.449474, -122.297478 47.449581, -122.297556 47.449655, -122.297624 47.44971, -122.297702 47.449771, -122.297791 47.449837, -122.297911 47.449919, -122.298034 47.449998, -122.298158 47.450078, -122.298603 47.450362, -122.29884 47.450516, -122.298982 47.450617, -122.299137 47.450733, -122.299229 47.450808, -122.299359 47.450924, -122.299482 47.451039, -122.299623 47.451186, -122.299749 47.451326, -122.299863 47.451476, -122.299959 47.451609, -122.300047 47.451745, -122.300134 47.451898, -122.30021 47.452064, -122.300268 47.452202, -122.300317 47.452345, -122.300359 47.452509, -122.300393 47.452681, -122.300419 47.452835, -122.300434 47.452995, -122.300434 47.453134, -122.300435 47.453318, -122.300421 47.4559, -122.300414 47.456185, -122.300404 47.45635, -122.300382 47.456541, -122.30036 47.456669, -122.300322 47.456832, -122.300273 47.456995, -122.300214 47.457155, -122.300144 47.457314, -122.300065 47.457471, -122.299975 47.457625, -122.299875 47.457776, -122.299766 47.457924, -122.299647 47.458069, -122.299519 47.45821, -122.299392 47.458337, -122.299268 47.458452, -122.299105 47.458593, -122.29887 47.458784, -122.296218 47.460879, -122.29338 47.46312, -122.293311 47.463174, -122.293243 47.463228, -122.293174 47.463282, -122.293174 47.463282, -122.293104 47.463336, -122.293035 47.463389, -122.292995 47.463418, -122.292964 47.463442, -122.292892 47.463494, -122.29282 47.463545, -122.292746 47.463596, -122.292671 47.463646, -122.292574 47.463709, -122.29239 47.463819, -122.292199 47.463923, -122.292002 47.464022, -122.291799 47.464115, -122.29159 47.464202, -122.291375 47.464282, -122.291232 47.464332, -122.29105 47.464389, -122.290865 47.464441, -122.29077 47.464464, -122.290675 47.464485, -122.290574 47.464504, -122.290481 47.464519, -122.290382 47.464532, -122.290283 47.464541, -122.290154 47.464549, -122.290006 47.464551, -122.289859 47.464546, -122.289712 47.464533, -122.289567 47.464513, -122.289425 47.464486, -122.289302 47.464456, -122.289198 47.464427, -122.289095 47.464394, -122.288994 47.46436, -122.288651 47.464237, -122.287022 47.463653)"
98591,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98198,98198,1469.408,1469.40816802788,"LINESTRING (-122.297641 47.420607, -122.297672 47.421085, -122.297698 47.422019, -122.297709 47.422748, -122.297725 47.423229, -122.297728 47.423481, -122.297735 47.423974, -122.297727 47.424164, -122.297687 47.424633)"
98622,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,732.8,732.800441791384,"LINESTRING (-122.322789 47.57745, -122.321149 47.57746, -122.320865 47.577456, -122.32062 47.577442, -122.320357 47.577415, -122.319833 47.577352)"
98689,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,123.729,123.729132094123,"LINESTRING (-122.279579 47.518347, -122.279635 47.518483, -122.279646 47.518511, -122.279658 47.518538, -122.279718 47.518673)"
98690,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,146.086,146.085654027202,"LINESTRING (-122.279642 47.521678, -122.279666 47.521479, -122.279666 47.521476, -122.279666 47.521476, -122.279674 47.521411, -122.279689 47.521279)"
98691,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,94.18,94.1798121157841,"LINESTRING (-122.279718 47.518673, -122.279783 47.518927)"
99133,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,1155.169,1155.16855746822,"LINESTRING (-122.279642 47.521678, -122.279862 47.520857, -122.279915 47.520639, -122.279965 47.520346, -122.279992 47.520026, -122.279994 47.519854, -122.279988 47.519681, -122.279971 47.519485, -122.279947 47.519313, -122.279886 47.519021, -122.279751 47.518543)"
99140,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,101.835,101.834577869153,"LINESTRING (-122.325457 47.57756, -122.325046 47.577532)"
99189,"Capitol Hill Sta AcRd","Capitol Hill Sta AcRd","Seattle","Seattle",98102,98102,541.695,541.695238704069,"LINESTRING (-122.320117 47.618329, -122.320137 47.619814)"
99191,"University of WA Sta AcRd","University of WA Sta AcRd","Seattle","Seattle",98195,98195,280.729,280.729000002146,"LINESTRING (-122.303674 47.6493, -122.303696 47.650069)"
99302,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,94.742,94.7422990629223,"LINESTRING (-122.286992 47.463691, -122.28684 47.463612, -122.286688 47.463533)"
100242,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,94.738,94.7377908498909,"LINESTRING (-122.287022 47.463653, -122.28684 47.463612, -122.286658 47.463571)"
100513,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98198,98198,168.916,168.915617517922,"LINESTRING (-122.297702 47.425096, -122.297705 47.424963, -122.297687 47.424779, -122.297686 47.424693, -122.297687 47.424633)"
