"OBJECTID","FULLNAME_L","FULLNAME_R","CITY_L","CITY_R","ZIP_L","ZIP_R","ROLL_LEN","Shape_Length","WKT"
105527,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,126.452,126.451645358511,"LINESTRING (-122.325963 47.577594, -122.325707 47.577599, -122.325451 47.577603)"
106066,"ST Light Rail","ST Light Rail","Seattle","Seattle",98122,98122,4015.692,4015.69240878012,"LINESTRING (-122.331731 47.613575, -122.331443 47.613696, -122.331337 47.61373, -122.331237 47.613754, -122.331116 47.613778, -122.330976 47.613797, -122.330835 47.613807, -122.330714 47.613812, -122.330585 47.61381, -122.330458 47.613804, -122.3303 47.613791, -122.329901 47.613737, -122.328351 47.613493, -122.328054 47.613449, -122.3278 47.613415, -122.327535 47.613388, -122.327213 47.613367, -122.326948 47.613355, -122.326562 47.613354, -122.326131 47.613369, -122.325701 47.613402, -122.32527 47.613463, -122.324813 47.613545, -122.324362 47.61365, -122.32401 47.61375, -122.323659 47.613865, -122.323358 47.613981, -122.323052 47.61411, -122.322707 47.614278, -122.322426 47.614435, -122.322144 47.614604, -122.321877 47.614789, -122.321632 47.61498, -122.321393 47.615186, -122.321163 47.61541, -122.320937 47.615667, -122.320706 47.615972, -122.320572 47.616195, -122.320451 47.616412, -122.320327 47.616684, -122.32023 47.616974, -122.320149 47.617326, -122.320109 47.61767, -122.32011 47.618014, -122.320117 47.618329)"
107097,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,1220.538,1220.53826967203,"LINESTRING (-122.279579 47.518347, -122.279765 47.519218, -122.279806 47.519436, -122.279842 47.519751, -122.27985 47.520043, -122.279831 47.520359, -122.279783 47.520673, -122.279729 47.520904, -122.279526 47.521664)"
107098,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,156.03,156.030222206584,"LINESTRING (-122.276768 47.486036, -122.276526 47.485898, -122.276285 47.485761)"
107877,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,155.53,155.530238574042,"LINESTRING (-122.276285 47.485761, -122.276723 47.486067)"
107878,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,611.437,611.43715938384,"LINESTRING (-122.319808 47.577455, -122.319926 47.577467, -122.32016 47.577485, -122.320374 47.577489, -122.320759 47.577498, -122.321226 47.577495, -122.322282 47.577493)"
107879,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,12434.9,12434.9001638909,"LINESTRING (-122.286688 47.463533, -122.286218 47.463367, -122.286079 47.463324, -122.285955 47.463292, -122.285794 47.463258, -122.285649 47.463235, -122.285501 47.46322, -122.285334 47.463211, -122.285114 47.463212, -122.284846 47.463223, -122.284573 47.463245, -122.284333 47.463271, -122.284094 47.463306, -122.283829 47.463353, -122.283597 47.463403, -122.283368 47.46346, -122.283033 47.463558, -122.282708 47.463672, -122.282396 47.463801, -122.282097 47.463944, -122.281883 47.464061, -122.281699 47.464171, -122.280827 47.464753, -122.280522 47.464943, -122.280304 47.465065, -122.280108 47.465168, -122.279907 47.465266, -122.279671 47.465372, -122.279399 47.465483, -122.279151 47.465576, -122.278866 47.465672, -122.278575 47.46576, -122.278326 47.465826, -122.278078 47.465883, -122.277827 47.465931, -122.277572 47.46597, -122.277343 47.465996, -122.277112 47.466015, -122.276881 47.466026, -122.276649 47.46603, -122.276416 47.466026, -122.276185 47.466015, -122.275954 47.465997, -122.275725 47.46597, -122.275414 47.465922, -122.2751 47.465859, -122.273097 47.465386, -122.272736 47.465308, -122.272479 47.465266, -122.272244 47.465237, -122.272007 47.465218, -122.271769 47.465208, -122.271428 47.46521, -122.271118 47.465232, -122.270974 47.46525, -122.27083 47.465273, -122.270689 47.465303, -122.27055 47.465338, -122.270395 47.465384, -122.270264 47.46543, -122.270137 47.465481, -122.270014 47.465537, -122.269896 47.465598, -122.269784 47.465664, -122.269678 47.465733, -122.269577 47.465807, -122.269457 47.465907, -122.269349 47.466013, -122.269252 47.466124, -122.269176 47.466226, -122.269104 47.466345, -122.26905 47.466454, -122.269007 47.466565, -122.268968 47.466703, -122.268941 47.466843, -122.26892 47.467011, -122.268792 47.468437, -122.268786 47.468619, -122.268788 47.468795, -122.268801 47.468995, -122.268821 47.469171, -122.268892 47.469565, -122.269435 47.472147, -122.269552 47.472626, -122.269695 47.473102, -122.269803 47.473418, -122.269921 47.473732, -122.270051 47.474043, -122.27019 47.474353, -122.270321 47.474623, -122.27046 47.47489, -122.270952 47.475779, -122.272679 47.478888, -122.27277 47.479064, -122.272847 47.479228, -122.272907 47.479375, -122.272958 47.479523, -122.273023 47.479759, -122.273067 47.479996, -122.27309 47.480213, -122.273095 47.480452, -122.273084 47.480647, -122.273065 47.480819, -122.272945 47.481554, -122.272912 47.481808, -122.272896 47.482082, -122.272909 47.482334, -122.272932 47.482487, -122.272966 47.48264, -122.273011 47.482792, -122.273066 47.482942, -122.273132 47.48309, -122.273209 47.483235, -122.273296 47.483378, -122.273397 47.483524, -122.273553 47.483716, -122.273717 47.48389, -122.273881 47.484043, -122.274102 47.484224, -122.274456 47.484483, -122.276285 47.485761)"
108822,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,1019.655,1019.65539403694,"LINESTRING (-122.327357 47.587529, -122.327357 47.587857, -122.327352 47.588097, -122.327347 47.588167, -122.327339 47.588238, -122.327331 47.588291, -122.327315 47.588378, -122.327291 47.588479, -122.327256 47.588614, -122.327181 47.588896, -122.327132 47.589099, -122.327117 47.589184, -122.327107 47.589253, -122.327101 47.589321, -122.327094 47.589458, -122.327093 47.589595, -122.327093 47.590312)"
110181,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98198,98198,170.314,170.314163194057,"LINESTRING (-122.297747 47.424635, -122.29773 47.424707, -122.297708 47.42478, -122.297671 47.42493, -122.29765 47.425037, -122.297641 47.425096)"
110321,"University of WA Sta AcRd","University of WA Sta AcRd","Seattle","Seattle",98195,98195,198.958,198.958250001073,"LINESTRING (-122.303863 47.650067, -122.303847 47.649522)"
111881,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,1594.448,1594.44800094435,"LINESTRING (-122.331845 47.603367, -122.331981 47.603517, -122.332627 47.604234, -122.333274 47.604949, -122.333929 47.605663, -122.334579 47.606376, -122.335228 47.607091)"
111885,"Intl District Station AcRd","Intl District Station AcRd","Seattle","Seattle",98104,98104,496.193,496.192858777081,"LINESTRING (-122.328071 47.598936, -122.328114 47.597576)"
115127,"Symphony Station","Symphony Station","Seattle","Seattle",98101,98101,302.376,302.376181622482,"LINESTRING (-122.335996 47.607639, -122.336638 47.608345)"
117913,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,126.436,126.435525518919,"LINESTRING (-122.325956 47.577637, -122.325707 47.577599, -122.325457 47.57756)"
122090,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,67.295,67.2952760330197,"LINESTRING (-122.303847 47.649522, -122.303884 47.649705)"
122928,"Symphony Station","Symphony Station","Seattle","Seattle",98101,98101,347.317,347.31698556247,"LINESTRING (-122.335228 47.607091, -122.335967 47.607902)"
122931,"Symphony Station","Symphony Station","Seattle","Seattle",98101,98101,224.679,224.678793576566,"LINESTRING (-122.335967 47.607902, -122.336445 47.608426)"
122935,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,1396.456,1396.45595878494,"LINESTRING (-122.330859 47.602053, -122.330752 47.601932, -122.330628 47.601833, -122.330461 47.601718, -122.330265 47.601587, -122.330133 47.601493, -122.329302 47.600925, -122.328885 47.600644, -122.328481 47.600342, -122.32834 47.600228, -122.328245 47.600119, -122.328148 47.599958, -122.328079 47.599713, -122.328071 47.598936)"
123151,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,365.934,365.933745063197,"LINESTRING (-122.334318 47.612508, -122.333051 47.61303)"
124069,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,376.036,376.03620439351,"LINESTRING (-122.328071 47.596586, -122.327993 47.596587, -122.327941 47.596611, -122.327916 47.596656, -122.327917 47.597324, -122.327917 47.597437, -122.327918 47.597544)"
124166,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,258.202,258.202157391639,"LINESTRING (-122.332727 47.613328, -122.331841 47.613704)"
124397,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,134.875,134.874693489824,"LINESTRING (-122.332727 47.613328, -122.333051 47.61303)"
126107,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,2321.052,2321.05223635092,"LINESTRING (-122.327093 47.590312, -122.327092 47.591513, -122.327091 47.592535, -122.327094 47.59274, -122.327103 47.592841, -122.327114 47.592912, -122.327133 47.592996, -122.327157 47.59308, -122.327199 47.593192, -122.327261 47.593331, -122.328005 47.595234, -122.32807 47.595421, -122.328112 47.595577, -122.328136 47.595724, -122.328145 47.595839, -122.328147 47.595951, -122.328138 47.596084, -122.328118 47.596223, -122.328096 47.596361, -122.328078 47.596493, -122.328071 47.596586)"
126109,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,96.354,96.3540000021458,"LINESTRING (-122.303834 47.649043, -122.303826 47.648779)"
126110,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,132.558,132.557795179526,"LINESTRING (-122.333156 47.613143, -122.332627 47.613207)"
126111,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,140.324,140.323604755537,"LINESTRING (-122.327413 47.587912, -122.327357 47.587529)"
126227,"ST Light Rail","ST Light Rail","Seattle","Seattle",98122,98122,3988.943,3988.94332349335,"LINESTRING (-122.320266 47.618327, -122.320261 47.617845, -122.32027 47.617553, -122.320319 47.617246, -122.320406 47.616909, -122.320537 47.616568, -122.320712 47.616226, -122.320897 47.615938, -122.321186 47.61558, -122.321455 47.6153, -122.321829 47.61498, -122.322191 47.614722, -122.322593 47.614476, -122.322966 47.614281, -122.32334 47.614109, -122.32384 47.613924, -122.32429 47.613782, -122.324802 47.613661, -122.32532 47.613565, -122.325792 47.613507, -122.326224 47.613475, -122.326692 47.613467, -122.327207 47.613475, -122.327617 47.613509, -122.328077 47.613561, -122.328578 47.613652, -122.329051 47.61376, -122.329485 47.613862, -122.329786 47.613927, -122.330077 47.613967, -122.330274 47.61398, -122.330514 47.613982, -122.330747 47.613962, -122.330994 47.613932, -122.331285 47.613881, -122.331494 47.613827, -122.331704 47.613761, -122.331841 47.613704)"
126590,"ST Light Rail","ST Light Rail","Seattle","Seattle",98191,98191,367.164,367.163833158868,"LINESTRING (-122.334419 47.61261, -122.333156 47.613143)"
126812,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,187.508,187.507513152483,"LINESTRING (-122.30366 47.648786, -122.303674 47.6493)"
126813,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,125.379,125.379223650821,"LINESTRING (-122.325451 47.577603, -122.325956 47.577637)"
126814,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,122.958,122.958198745461,"LINESTRING (-122.333051 47.61303, -122.332627 47.613207)"
126815,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,110.027,110.026697891745,"LINESTRING (-122.327413 47.588214, -122.327413 47.587912)"
126816,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,258.404,258.404389740738,"LINESTRING (-122.332627 47.613207, -122.331731 47.613575)"
126817,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,2322.401,2322.40094711804,"LINESTRING (-122.328211 47.596605, -122.328214 47.596573, -122.328213 47.59654, -122.328203 47.595856, -122.328201 47.595815, -122.328197 47.595733, -122.32819 47.595652, -122.328181 47.595573, -122.328169 47.595493, -122.328158 47.595434, -122.328146 47.595375, -122.328132 47.595316, -122.328117 47.595257, -122.3281 47.595198, -122.328075 47.595118, -122.328048 47.595038, -122.328019 47.594958, -122.327989 47.594878, -122.327641 47.593938, -122.327382 47.593259, -122.327349 47.593174, -122.327319 47.593089, -122.327302 47.593032, -122.327286 47.592974, -122.327274 47.592916, -122.327262 47.592843, -122.327255 47.59277, -122.32725 47.592566, -122.327251 47.591511, -122.327252 47.590312, -122.327252 47.590312)"
126818,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,3994.979,3994.97923070756,"LINESTRING (-122.327413 47.587912, -122.327418 47.581178, -122.327419 47.579103, -122.32742 47.578523, -122.327419 47.578449, -122.327416 47.578376, -122.327411 47.578322, -122.327403 47.578267, -122.327389 47.578213, -122.327371 47.578163, -122.327371 47.578163, -122.32736 47.578137, -122.327347 47.57811, -122.327332 47.578085, -122.327316 47.578059, -122.327298 47.578034, -122.32728 47.57801, -122.327259 47.577986, -122.327238 47.577962, -122.327215 47.577939, -122.327191 47.577917, -122.327166 47.577895, -122.327139 47.577874, -122.327111 47.577854, -122.327082 47.577834, -122.327053 47.577816, -122.327022 47.577797, -122.32699 47.57778, -122.326957 47.577764, -122.326923 47.577748, -122.326889 47.577734, -122.326853 47.57772, -122.326817 47.577707, -122.32678 47.577695, -122.326743 47.577684, -122.326717 47.577677, -122.326679 47.577668, -122.326627 47.577657, -122.326575 47.577648, -122.326522 47.57764, -122.326469 47.577633, -122.326416 47.577627, -122.326362 47.577622, -122.326309 47.577618, -122.326201 47.577611, -122.325963 47.577594)"
129400,"Westlake Sta AcRd","Westlake Sta AcRd","Seattle","Seattle",98101,98101,486.551,486.550801349295,"LINESTRING (-122.336129 47.61195, -122.334853 47.612481, -122.334419 47.61261)"
129592,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,92.205,92.2046184394861,"LINESTRING (-122.32815 47.596356, -122.328211 47.596605)"
129625,"Pioneer Sq Sta AcRd","Pioneer Sq Sta AcRd","Seattle","Seattle",98104,98104,242.114,242.114212173811,"LINESTRING (-122.331331 47.602801, -122.331845 47.603367)"
131695,"Symphony Station","Symphony Station","Seattle","Seattle",98101,98101,269.704,269.703962892465,"LINESTRING (-122.335416 47.607012, -122.335764 47.607384, -122.335996 47.607639)"
131835,"Pioneer Sq Sta AcRd","Pioneer Sq Sta AcRd","Seattle","Seattle",98104,98104,294.638,294.637892767606,"LINESTRING (-122.330701 47.602115, -122.331331 47.602801)"
132664,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,3832.43,3832.43028840942,"LINESTRING (-122.325956 47.577637, -122.326202 47.577654, -122.326358 47.577666, -122.326436 47.577673, -122.326514 47.577683, -122.326565 47.57769, -122.326615 47.5777, -122.326665 47.57771, -122.326702 47.57772, -122.326739 47.57773, -122.326787 47.577745, -122.326822 47.577758, -122.326857 47.577771, -122.32689 47.577785, -122.326923 47.5778, -122.326955 47.577817, -122.326986 47.577833, -122.327015 47.577851, -122.327044 47.57787, -122.327081 47.577895, -122.327107 47.577915, -122.327132 47.577936, -122.327156 47.577958, -122.327179 47.57798, -122.3272 47.578003, -122.32722 47.578026, -122.327238 47.57805, -122.327256 47.578074, -122.327271 47.578098, -122.327286 47.578124, -122.327298 47.578149, -122.327314 47.578184, -122.327326 47.578217, -122.327336 47.578252, -122.327344 47.578287, -122.32735 47.578322, -122.327355 47.578358, -122.327358 47.578393, -122.327361 47.578446, -122.327363 47.5785, -122.327363 47.57857, -122.327362 47.57911, -122.327361 47.581186, -122.327357 47.587529)"
132894,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,92.189,92.1889722106896,"LINESTRING (-122.303843 47.649296, -122.303834 47.649043)"
135297,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,140.816,140.815629890995,"LINESTRING (-122.324883 47.577564, -122.325451 47.577603)"
136094,"Northgate Sta Rail","Northgate Sta Rail","Seattle","Seattle",98125,98125,256.705,256.70459990673,"LINESTRING (-122.328221 47.702653, -122.328225 47.703357)"
136096,"ST Light Rail","ST Light Rail","Seattle","Seattle",98125,98125,437.596,437.596019663082,"LINESTRING (-122.328308 47.704365, -122.328311 47.704647, -122.328314 47.704779, -122.328327 47.704907, -122.328347 47.705038, -122.328378 47.705182, -122.328428 47.705361, -122.328495 47.705554)"
136332,"Northgate Sta Rail","Northgate Sta Rail","Seattle","Seattle",98125,98125,257.787,257.787314378739,"LINESTRING (-122.328396 47.703358, -122.328385 47.702651)"
136562,"ST Light Rail","ST Light Rail","Seattle","Seattle",98115,98115,1218.787,1218.78676753105,"LINESTRING (-122.328555 47.696781, -122.32869 47.697491, -122.32872 47.697663, -122.328739 47.697867, -122.328759 47.698084, -122.328766 47.698304, -122.328765 47.698471, -122.328759 47.698657, -122.328751 47.698832, -122.328732 47.699016, -122.328699 47.699219, -122.328539 47.700106)"
136567,"ST Light Rail","ST Light Rail","Seattle","Seattle",98115,98115,1222.188,1222.18811847896,"LINESTRING (-122.328607 47.70011, -122.328763 47.699253, -122.328791 47.699083, -122.328818 47.698892, -122.328834 47.698697, -122.328848 47.698428, -122.328848 47.698244, -122.328845 47.698055, -122.328834 47.697853, -122.328812 47.697655, -122.328788 47.697473, -122.328686 47.696773)"
136788,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98101,98101,1182.425,1182.4253545304,"LINESTRING (-122.336638 47.608345, -122.338319 47.610178, -122.338384 47.610266, -122.338447 47.610392, -122.338487 47.610509, -122.338489 47.610602, -122.338472 47.610691, -122.33844 47.610767, -122.33839 47.610834, -122.338302 47.610912, -122.338166 47.611007, -122.33797 47.611107)"
136789,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98101,98101,1103.311,1103.31074242641,"LINESTRING (-122.336445 47.608426, -122.338121 47.610256, -122.338221 47.610399, -122.338281 47.610545, -122.338281 47.610671, -122.338223 47.610787, -122.33813 47.610876, -122.338018 47.610958, -122.337907 47.611014)"
136790,"Pioneer Sq Sta AcRd","Pioneer Sq Sta AcRd","Seattle","Seattle",98104,98104,240.673,240.672858040068,"LINESTRING (-122.33149 47.602735, -122.332005 47.603295)"
136950,"ST Light Rail","ST Light Rail","Lynnwood","Lynnwood",98036,98036,8943.696,8943.69607233993,"LINESTRING (-122.316267 47.797731, -122.316277 47.798374, -122.316284 47.799063, -122.316287 47.799287, -122.316284 47.799437, -122.316265 47.799606, -122.316237 47.799747, -122.316182 47.799927, -122.316109 47.800103, -122.315993 47.800303, -122.315862 47.80049, -122.315721 47.800663, -122.315549 47.800833, -122.315383 47.800977, -122.315195 47.801135, -122.314792 47.801469, -122.313919 47.802195, -122.312988 47.802955, -122.312693 47.803202, -122.312284 47.803542, -122.311989 47.803763, -122.311569 47.804054, -122.311168 47.804302, -122.310821 47.804501, -122.310395 47.804735, -122.309813 47.805036, -122.308759 47.805605, -122.30723 47.806433, -122.306027 47.807072, -122.304781 47.80774, -122.303432 47.808455, -122.302291 47.809062, -122.300829 47.809837, -122.300349 47.810108, -122.300109 47.810268, -122.299774 47.810511, -122.299656 47.810605, -122.299446 47.810782, -122.299273 47.810938, -122.299115 47.81109, -122.298952 47.811266, -122.298775 47.81148, -122.298633 47.81167, -122.298532 47.811825, -122.298427 47.811992, -122.298346 47.812135, -122.297906 47.812959, -122.297622 47.813468, -122.297495 47.813651, -122.29737 47.813798, -122.297245 47.813934, -122.29703 47.814141, -122.296795 47.814337, -122.296586 47.814491, -122.296337 47.814639, -122.295348 47.81522, -122.294003 47.816, -122.293995 47.816004)"
136951,"ST Light Rail","ST Light Rail","Lynnwood","Lynnwood",98036,98036,142.786,142.786114015554,"LINESTRING (-122.293549 47.816325, -122.293063 47.816539)"
136959,"ST Light Rail","ST Light Rail","Lynnwood","Lynnwood",98036,98036,142.382,142.381792008786,"LINESTRING (-122.293163 47.816616, -122.293549 47.816325)"
137011,"Westlake Sta AcRd","Westlake Sta AcRd","Seattle","Seattle",98101,98101,488.044,488.043609616058,"LINESTRING (-122.335959 47.611765, -122.334669 47.612308, -122.334318 47.612508)"
137016,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,357.762,357.762297346779,"LINESTRING (-122.328114 47.597576, -122.328137 47.597533, -122.328166 47.597478, -122.3282 47.597396, -122.328216 47.59732, -122.328222 47.597242, -122.328211 47.596605)"
137020,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98101,98101,1595.484,1595.48350720803,"LINESTRING (-122.332005 47.603295, -122.332146 47.603449, -122.332807 47.604158, -122.333458 47.604872, -122.334111 47.605585, -122.334764 47.606299, -122.335416 47.607012)"
137138,"ST Light Rail","ST Light Rail","Seattle","Seattle",98125,98125,775.638,775.63767854925,"LINESTRING (-122.328457 47.700536, -122.32832 47.70129, -122.328257 47.701657, -122.328233 47.7018, -122.328213 47.702065, -122.328221 47.702653)"
137364,"ST Light Rail","ST Light Rail","Seattle","Seattle",98125,98125,731.878,731.878194867724,"LINESTRING (-122.328518 47.700543, -122.328459 47.700878, -122.328423 47.701092, -122.328383 47.701434, -122.328375 47.701616, -122.328384 47.702544)"
137498,"Intl District Station AcRd","Intl District Station AcRd","Seattle","Seattle",98104,98104,507.801,507.801468369402,"LINESTRING (-122.327918 47.597544, -122.327919 47.598936)"
138082,"ST Light Rail","ST Light Rail","Seattle","Seattle",98103,98103,159.335,159.334961642211,"LINESTRING (-122.328518 47.700543, -122.328607 47.70011)"
138086,"ST Light Rail","ST Light Rail","Seattle","Seattle",98103,98103,75.666,75.6660071252618,"LINESTRING (-122.328607 47.70011, -122.328575 47.700196, -122.328528 47.70031)"
138319,"ST Light Rail","ST Light Rail","Seattle","Seattle",98103,98103,84.229,84.2292483474672,"LINESTRING (-122.328528 47.70031, -122.328468 47.700496, -122.328457 47.700536)"
138327,"ST Light Rail","ST Light Rail","Seattle","Seattle",98125,98125,39.029,39.0290384773146,"LINESTRING (-122.328384 47.702544, -122.328385 47.702651)"
138554,"ST Light Rail","ST Light Rail","Seattle","Seattle",98103,98103,84.736,84.7360624907116,"LINESTRING (-122.328528 47.70031, -122.328521 47.7005, -122.328518 47.700543)"
138555,"ST Light Rail","ST Light Rail","Seattle","Seattle",98103,98103,158.085,158.084741755912,"LINESTRING (-122.328457 47.700536, -122.328539 47.700106)"
138675,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,5068.285,5068.28488996426,"LINESTRING (-122.31425 47.659932, -122.314264 47.659433, -122.31424 47.659174, -122.314206 47.658992, -122.314144 47.658798, -122.314065 47.658594, -122.313959 47.65842, -122.313824 47.65825, -122.313668 47.658085, -122.313471 47.657916, -122.313276 47.657777, -122.313086 47.657662, -122.312846 47.657555, -122.31259 47.657466, -122.3123 47.657383, -122.312016 47.65731, -122.311648 47.657235, -122.309208 47.656874, -122.30875 47.656808, -122.308381 47.656737, -122.308018 47.656654, -122.307689 47.656563, -122.307359 47.656457, -122.307068 47.656354, -122.306801 47.656247, -122.306555 47.656139, -122.306298 47.656009, -122.306051 47.655868, -122.305799 47.655715, -122.305523 47.655521, -122.305298 47.655344, -122.305073 47.655138, -122.304881 47.654946, -122.304701 47.65475, -122.304525 47.654528, -122.304373 47.654321, -122.304243 47.654113, -122.304124 47.653886, -122.304022 47.653678, -122.303937 47.653462, -122.303887 47.653264, -122.303847 47.653044, -122.303818 47.652823, -122.303805 47.652576, -122.303806 47.65242, -122.303823 47.65221, -122.303856 47.651985, -122.303884 47.651779, -122.303912 47.651558, -122.303927 47.651322, -122.303927 47.651105, -122.303863 47.650067)"
138676,"Roosevelt Sta Rail","Roosevelt Sta Rail","Seattle","Seattle",98115,98115,394.981,394.980762453123,"LINESTRING (-122.315832 47.676078, -122.315877 47.67716)"
138677,"ST Light Rail","ST Light Rail","Seattle","Seattle",98105,98105,5615.397,5615.3973021581,"LINESTRING (-122.316016 47.676078, -122.316012 47.675581, -122.315998 47.675338, -122.315972 47.675036, -122.315852 47.673926, -122.315763 47.673273, -122.315662 47.672577, -122.315561 47.672011, -122.314991 47.668805, -122.314492 47.66602, -122.314403 47.665505, -122.314351 47.665163, -122.314299 47.664804, -122.314268 47.664457, -122.314248 47.664138, -122.314254 47.660749)"
138678,"U District Sta Rail","U District Sta Rail","Seattle","Seattle",98105,98105,300.198,300.197754325471,"LINESTRING (-122.314013 47.659931, -122.314021 47.660754)"
138913,"ST Light Rail","ST Light Rail","Seattle","Seattle",98125,98125,163.213,163.212701668025,"LINESTRING (-122.328225 47.703357, -122.328228 47.703804)"
138915,"ST Light Rail","ST Light Rail","Seattle","Seattle",98115,98115,8139.707,8139.70748687624,"LINESTRING (-122.315877 47.67716, -122.315914 47.677705, -122.315943 47.677978, -122.315985 47.678221, -122.316056 47.678479, -122.316129 47.678709, -122.316239 47.67895, -122.31637 47.67922, -122.316496 47.679444, -122.316621 47.679628, -122.316768 47.679826, -122.316928 47.680012, -122.317114 47.680217, -122.317302 47.680412, -122.317534 47.680621, -122.317888 47.680916, -122.319789 47.682439, -122.32296 47.68498, -122.325171 47.686753, -122.325735 47.687214, -122.326118 47.68754, -122.326263 47.68769, -122.326409 47.687855, -122.326569 47.688053, -122.326841 47.688423, -122.327793 47.689772, -122.327952 47.690029, -122.328067 47.690247, -122.328169 47.690474, -122.328253 47.690692, -122.328319 47.690903, -122.328371 47.691114, -122.328409 47.69134, -122.328436 47.691654, -122.328457 47.694729, -122.328473 47.696014, -122.328484 47.696221, -122.328501 47.696418, -122.328524 47.6966, -122.328555 47.696781)"
138916,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,315.389,315.389023880775,"LINESTRING (-122.303932 47.650567, -122.303919 47.65033, -122.303891 47.650208, -122.303884 47.649705)"
138917,"U District Sta Rail","U District Sta Rail","Seattle","Seattle",98105,98105,297.956,297.956026545643,"LINESTRING (-122.314254 47.660749, -122.31425 47.659932)"
138918,"Roosevelt Sta Rail","Roosevelt Sta Rail","Seattle","Seattle",98115,98115,394.101,394.101324620381,"LINESTRING (-122.316053 47.677158, -122.316016 47.676078)"
138919,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,5061.566,5061.56607580984,"LINESTRING (-122.303696 47.650069, -122.303736 47.651145, -122.303721 47.651404, -122.303704 47.651595, -122.303665 47.651809, -122.303612 47.652141, -122.30359 47.65235, -122.303581 47.652636, -122.303592 47.652815, -122.303614 47.652994, -122.303653 47.653191, -122.303716 47.653423, -122.303796 47.653658, -122.303881 47.653847, -122.303976 47.654036, -122.304095 47.654248, -122.304242 47.654486, -122.304401 47.654701, -122.304576 47.654904, -122.304767 47.655104, -122.304964 47.655295, -122.305161 47.655468, -122.305357 47.655622, -122.305558 47.65576, -122.305765 47.655891, -122.305988 47.656025, -122.306211 47.656144, -122.306423 47.656244, -122.306668 47.656351, -122.306942 47.656466, -122.307215 47.656569, -122.307512 47.656672, -122.307841 47.65677, -122.308154 47.65685, -122.308477 47.656918, -122.308879 47.656993, -122.309253 47.657049, -122.311579 47.657388, -122.311919 47.657452, -122.312237 47.657528, -122.312482 47.657609, -122.312687 47.657682, -122.312892 47.657771, -122.313081 47.657879, -122.313242 47.657987, -122.313409 47.658126, -122.313537 47.658242, -122.313676 47.658397, -122.313776 47.658536, -122.313853 47.658669, -122.313913 47.658801, -122.313963 47.658945, -122.314001 47.659101, -122.314022 47.659249, -122.314026 47.659401, -122.314013 47.659931)"
